source,question,answer,context
ticket_to_ride,What is the MSRP for Ticket to Ride – The Card Game in the U.S. market?,The suggested retail price (MSRP) for Ticket to Ride – The Card Game in the U.S. market is $25.,"On 25 February 2008, Days of Wonder announced the pending release of a card game set in the United States, entitled Ticket to Ride – The Card Game, by way of a portable version of the Ticket to Ride franchise concept. The card game was released in May 2008, and was available in 10 languages. The game was available from retailers and the Days of Wonder's website at a suggested retail price of €15 and $25 (USD), in Europe and the United States respectively.
Players were dealt 6 destination tickets (keeping at least 1), 1 locomotive card, and 7 other train cards. The destination tickets had a colour code of 1 to 5 coloured dots, matching the colours of the train cards. The trains cards were moved from the player's hand to their own playing area (""rail yard"") and then the player's scoring area (""on-the-track stack"") The standard turn options were that a player would firstly move a card of each train colour from the player's rail yard destination tickets to their own on-the-track stack; and secondly chose to complete one of three options:  
Drawing two train cards;
Tabling train cards, i.e., either two or more of the same colour or exactly three of three different colours, into that player's own rail yard;
Drawing 4 destination cards, any of which could be discarded in that turn.  
During play, train cards whose colour was already present in any opponents' rail yard could not be played unless they out-numbered the opponent players' cards of that colour, thus resulting in those lower number of cards of that colour being removed from all the opponents' rail yards, a move known as ""train robbing"". When the train card draw pile was exhausted, the players used the train cards in their on-the-track stack to complete their destination tickets by matching the coloured train cards with the coloured dots on the destination tickets. Scoring was based on the success of completing destination tickets, by expending train cards from the player's ""on-the-track stack"" for a match of each destination card's required colour combination, thus adjusting the players final score by adding the destination ticket's point value if completed or subtracting it if uncompleted. A bonus existed for the most destination tickets completed involving six big cities (Chicago, Dallas, Los Angeles, Miami, New York City, and Seattle).
The card game is playable in 30 minutes and supports 2–4 players, who are 8 years-old or older. The card game has a complexity rating of 1.88 on BoardGameGeek.
Reception – Ticket to Ride: The Card Game has gained an average rating of 6.12, and an adjusted 'Geek Rating' of 5.887, as a result of the responses from 4,085 voting users, on BoardGameGeek. This card game has also achieved the following distinctions:"
ticket_to_ride,What is the complexity rating of Ticket to Ride?,The complexity rating of Ticket to Ride is 1.83 out of 5 on BoardGameGeek.,"The original version was based on a 1910 map of the United States and southern Canada. It was released in late February 2004 in Europe and in late March 2004 in Korea and North America, at a suggested retail price of $39.95 (USD).
The train and mission cards were in a smaller size compared to subsequent versions in the Ticket to Ride franchise. This game currently has a complexity rating of 1.83 out of 5 on BoardGameGeek. The recommendation is that it is played with 2–5 players, who are aged 8 or older, for a game lasting between 30 and 60 minutes.
Reception – Reviews from the critics were overwhelmingly positive. Mike Fitzgerald called Ticket to Ride ""a game that I never tire of, one that lends itself well to the many expansions that Days of Wonder have released. The design principles it uses are all simple and have been done before, but they have never been put together in a game as compelling as Ticket to Ride."" Board Gaming, when giving the game a 7.8 out of 10, wrote ""A game almost everyone loves to play. It's easy to learn and quick to play, which makes it ideal for introducing you, your friends and your family to board games."" This original version has an average rating of 7.39, and an adjusted ""Geek Rating"" of 7.275, on BoardGameGeek, based on the responses from 89,720 voting members.
The original version won the following awards:  
The following card expansions were produced to complement the original Ticket to Ride version:  
a) Mystery Train  
– Days of Wonder premiered the German version of a card expansion called Ticket to Ride: Mystery Train at Spiel '04 (21 – 24 October 2004) in Essen (Germany). This expansion was given away free along with the newly released original (North America) core game as part of a limited release of 30,000 decks, exclusively distributed at the convention and not to be sold elsewhere. After that, the English version was available in the United States through the December '04 Game Trade Magazine, and then generally in stores.  
This expansion was a series of cards, in the original smaller card format, which included:  
Mission Tickets – Four new short destination tickets;  
Character Cards – Five unique character cards, including three cards (""Station Master"", ""Conductor"", ""Industrial Mangnate"") that allowed a player to get bonus points at the end of the game for accomplished tasks; and two copies of a card (""Engineer"") that allowed a player to immediately look through the entire deck of tickets and take one.  
The cards had a distinctive baking to provide incentive for players to draw more cards at the risk of getting additional destination cards. This expansion has a ""complexity rating"" of 1.81 out of 5 on boardgamegeek.
Reception – Reviews were mixed, with positive praise pragmatically considering nature of this free mini-expansion. While giving the expansion a 5 out of 5 for style and a 4 out of 5 for substance, Shannon Appelcline (RPG) wrote ""Mystery Train is a nice little expansion to Ticket to Ride; its not earth-shattering (or essential), but its worth going to the trouble to pick up, as it'll cause some slight changes in your Ticket to Ride games."" In later reviews, the incompatibility with the newer, now standard, large card size, used in the USA 1910 expansion and the stand-alone versions was noted. Giving the expansion a 5 out of 10, Spiel Fritte wrote ""Mystery Train is only available in small card format. If you want to play with the larger and more manageable cards, you can forget about this expansion. What a shame."" On BoardGameGeek this expansion has an average rating of 6.65 and an adjusted ""Geek Rating"" of 5.852, from a combined vote of 944 voting users.
b) USA 1910 – USA 1910 had its premier release in conjunction with Spiel '06 (19 – 22 October 2006) in Essen, Germany. The initial release was packaged in a distinctive, 2-piece metal box. The release was limited, with some countries like the United States only having 10,000 copies made available. The expansion, which became a standard supplement to the original game, contained:  
Large format reprints of the original card deck, replacing the much smaller ones included in the original game;
Thirty-five new destination tickets, including four from the out-of-print Mystery Train expansion;
A ""Globetrotter"" bonus card.  
The expansion also included a rulebook giving three additional different ways to play the game:  
1910 Rules - A range of new missions;
Big Cities Rules - Only missions between major metropolises;
Mega Game - Featuring all the possible missions.  
This card expansion currently has a complexity rating of 1.89 out of 5 on BoardGameGeek.
Reception – The game received favourable reviews to the 1910 expansion, especially as an indispensable add-on to the original. Nathan Coobs, while giving it 83%, wrote ""True to their word, Days of Wonder have used the 1910 expansion to re-inject some life and vigour into this old showpiece. ... For us 1910 is a mandatory part of the game."" Tom Vasel (RPG), while giving it a 4 out of 5 for both style and substance, wrote ""Large cards and a whopping thirty-five new tickets are a good enough reason to picking up this inexpensive expansion. It turns the original Ticket to Ride into a more tactical game, almost putting it on par with the strategy king of the series – Ticket to Ride: Märklin."" In contrast, some reviewers questioned the need for the expansion. Vincent (Dad's Gaming Addiction), while giving it 7 out of 10, wrote ""The base game is perfectly playable by itself and can easily provide entertainment for years to come…most casual gamers can and will be happy with just that. With that said, sometimes you just want more. I personally would have liked another train set so that six players could play or something along those lines, but I suppose USA 1910 does the job as-is even if it is a tad on the expensive side."" On BoardGameGeek, the USA 1910 card expansion received an average rating of 8.00 and an adjusted ""Geek rating"" of 7.566, from a vote amongst 11,108 voting users."
scythe,"What is the title of the 2017 stand-alone spin-off game inspired by Scythe, as mentioned in the provided text?",The title of the 2017 stand-alone spin-off game inspired by Scythe is My Little Scythe.,"In 2017, Stonemaier Games published a stand-alone spin-off to Scythe. Titled My Little Scythe, the game was initially a fan project that was later developed into a print and play designed by Hoby and Vienna Chou, which received the 2017 Golden Geek Award for Best Print and Play game. The game was inspired by Scythe and featured similar mechanisms, but was re-themed and simplified for a more casual, family-friendly experience. Initially, the designer wanted to incorporate the My Little Pony franchise, although due to problems with licensing, the board game is not directly connected to that franchise. An expansion adding two new factions and airships, titled My Little Scythe: Pie in the Sky, was released in June 2020.
In a Techraptor review, Travis Williams praised the game’s accessibility, engagement, mechanics, playtime, and components. This sentiment was echoed by Polygon, which also praised the game's accessibility and mechanics. Michał Szewczyk from Rebel Times concluded that the game is a well-executed if simplified version of Scythe, bridging the world of serious board games and family games.
In 2018, Scythe: Digital Edition, a video game, was released by Asmodee Digital as a digital adaptation of Scythe. The game was released on 5 September 2018 on Steam for PC, including both Mac and Windows. In 2020, a mobile version was subsequently released and available to download on iOS and Android. Iron Harvest, a real-time strategy game inspired by Scythe's 1920s setting, was also released in September 2020, and was positively received for its artwork and thematic setting."
ticket_to_ride,What is the minimum age for players in the Ticket to Ride game?,The minimum age for players in the Ticket to Ride game is 8 years old.,"Cities versions maps are designed as standalone games featuring the original edition's standard gameplay, but with games that are shorter and smaller than the original edition. Each version in the cities line was designed for 2–4 players who are 8-years-old or older for a game lasting for 10–15 minutes. Allan J. Moon, when introducing the concept of the cities series, wrote ""This is the fastest way for new players to enter the Ticket to Ride world, but it's also a rewarding fifteen minutes game for Ticket to Ride veterans."" Each of the games in the cities series has a different unique additional scoring mechanism."
ticket_to_ride,How do the terrain cards in Volume 3: The Heart of Africa affect gameplay strategy and scoring?,"The terrain cards in Volume 3: The Heart of Africa introduce a strategic element by providing a double point bonus when the terrain cards match the routes claimed. This encourages players to consider their card choices carefully and plan their routes to maximize scoring potential. The added complexity enhances the game's competitiveness and requires more thoughtful decision-making, making it particularly appealing for experienced players.","On 24 September 2012, Days of Wonder foreshadowed the then upcoming release of an expansion entitled Volume 3: The Heart of Africa, based on a 1910 map of the Africa continent. In December 2012, it was released at a suggested retail price of €25 / $25 (USD).
This expansion currently has a BoardGameGeek ""complexity rating"" of 2.05 out of 5. This version's unique feature was ""terrain cards"", which gave a double point bonus when claiming a route if the ""terrain cards"" matched the routes claimed. The game was designed for 2–5 players who are 8-years-old or older, for a game lasting 30–60 minutes.
Reception – This extension received largely favourable reviews, with especially positive mentions about the unique ""terrain card"" mechanism. Matt Morgan (Wired) wrote ""Worth the challenge. Ticket to Ride hasn't been this competitive in a while, and new terrain cards keep the game fresh."" Shannon Appelcline (RPGNet), while giving the game a 5 out of 5 for ""style"", gave this expansion a 4 out of 5 for ""substance"", writing Ticket to Ride Map Collection 3: The Heart of Africa offers up some terrific play for experienced Ticket to Ride game players. The tightness of the map and the additional level of strategy created by the new rules combine to create a more interesting, more thoughtful, and more tense game."", but adding ""It's got some good material for Ticket to Ride players, but I'd suggest getting the other two Map Collections first."" On BoardGameGeek, from a vote of 3,300 voting users, this version holds an average rating of 7.38 and an adjusted ""Geek Rating"" of 6.626."
catan,What are the specific age and residency criteria for competing in the Catan World Championship?,"To compete in the Catan World Championship, players must be over the age of 18 and must be either a citizen or a permanent resident of the country they represent.","The first Catan World Championship was held in 2002 at the game fair ""Internationalen Spieltage"" in Essen, Germany. It took place there every year until 2008, when it was hosted at Gen Con Indy, in the United States. Since then, the Catan World Championship has taken place every two years, with the location alternating between the United States and Germany.
In 2018, there were participants in the World Championship from over forty countries. A maximum of two players per country are allowed to participate.
To be eligible to compete in the World Championship, all players must be over the age of 18, as well as a citizen or permanent resident of the country in which they are competing.
The World Championship is structured in three rounds: the preliminary round, the semifinals, and the finals. The preliminary round consists of three games, of which the top sixteen players advance to the semifinals. The semifinals are seeded based first on wins, then points, and then the quality of victory (percentage of total points earned per game) in the preliminary round games. The winner of each semifinal game then advances to the finals. The winner of the finals becomes the Catan World Champion.
The 2020 championship was postponed because of the COVID-19 pandemic; it was eventually held in Valletta, Malta, in 2022.
Here is a list of past winners and finalists of the Catan World Championship."
pandemic,What is the objective of researching disease cures in the game Pandemic in the Lab?,"The objective of researching disease cures in Pandemic: In the Lab is to find cures for diseases, similar to the base game, but with an added focus on laboratory research.","A second expansion was released in the summer of 2013, with a new game board that allows players to research disease cures in a laboratory. The goal of this activity is the same as in the base game—to find cures for diseases—but this time with an added research aspect. Players can also use new characters and new special events included with the expansion. In addition, it added a one-player mode and a team play mode, in which teams of two compete to be the most effective team. In the Lab requires both Pandemic and On the Brink to play, and also requires replacement decks if using the first editions of Pandemic and On the Brink."
monopoly,How does Voice Banking operate in Monopoly regarding property transactions and rent payments without using cash or cards?,"Voice Banking in Monopoly operates by allowing players to interact with the Top Hat using voice commands. Players can purchase properties, pay rent, and manage buildings simply by speaking, eliminating the need for cash or cards.","In this version, there are no cash or cards. Voice Banking allows the player to respond by voice to the Top Hat. The hat responds by purchasing properties, paying rent, and making buildings."
monopoly,What was the qualification process for the 2009 Monopoly U.S. National Championship?,"The qualification process for the 2009 Monopoly U.S. National Championship included an online multiple-choice quiz (requiring a score of 80% or better), followed by an online five-question essay test, and concluded with a two-game online tournament at Pogo.com. Due to an eleven-way tie for the last six spots in the tournament, all tied players were invited to compete.","Until 1999, U.S. entrants had to win a state/district/territory competition to represent that state/district/territory at the once every four-year national championship. The 1999 U.S. National Tournament had 50 contestants—49 State Champions (Oklahoma was not represented) and the reigning national champion.
Qualifying for the National Championship has been online since 2003. For the 2003 Championship, qualification was limited to the first fifty people who correctly completed an online quiz. Out of concerns that such methods of qualifying might not always ensure a competition of the best players, the 2009 Championship qualifying was expanded to include an online multiple-choice quiz (a score of 80% or better was required to advance); followed by an online five-question essay test; followed by a two-game online tournament at Pogo.com. The process was to have produced a field of 23 plus one: Matt McNally, the 2003 national champion, who received a bye and was not required to qualify. However, at the end of the online tournament, there was an eleven-way tie for the last six spots. The decision was made to invite all of those who had tied for said spots. In fact, two of those who had tied and would have otherwise been eliminated, Dale Crabtree of Indianapolis, Indiana, and Brandon Baker, of Tuscaloosa, Alabama, played in the final game and finished third and fourth respectively.
The 2009 Monopoly U.S. National Championship was held on April 14–15 in Washington, D.C. In his first tournament, Richard Marinaccio, an attorney from Sloan, New York, beat two previous champions to be crowned the 2009 U.S. National Champion and took home $20,580—the amount of money in the bank of the board game—and competed in the 2009 World Championship in Las Vegas, Nevada, on October 21–22, where he finished in third place.
In 2015, Hasbro used an online competition to determine who would be the U.S. representative to compete at the 2015 Monopoly World Championship. Interested players took a twenty-question quiz on Monopoly strategy and rules and submitted a hundred-word essay on how to win a Monopoly tournament. Hasbro then selected Brian Valentine of Washington, D.C., to be the U.S. representative."
pandemic,"What are the objectives of the game Pandemic: Rapid Response, specifically regarding resource management and timely delivery to affected cities?","In Pandemic: Rapid Response, the objectives focus on resource management and timely delivery to affected cities. Players must roll dice to produce essential supplies and allocate resources effectively while managing waste. The goal is to deliver relief to all affected cities before the time runs out or waste accumulates excessively.","Pandemic: Rapid Response is a real-time cooperative game set in the Pandemic universe, released in 2019 and designed by Kane Klenko. In Rapid Response, players take on the role of an international crisis response team tasked with delivering essential supplies to cities affected by natural disasters. Players roll dice and allocate the results to various actions, including producing resources, piloting the plane towards affected cities, recycling the waste created by producing resources, and dropping off finished supplies in the cities that need them. The game takes place in real time, with the game briefly pausing and a new city being added after a two-minute timer expires. Players win by delivering relief to all cities and lose by running out of time or creating too much waste."
